
                     Asteroid Classifications
----------------------------------------------------------------
                        Tholen   Barucci
     Minor Planet       Class    Class    Group    Notes
----------------------------------------------------------------
 220 Stephania          XC
 221 Eos                S        S0
 222 Lucia              BU       B0
 223 Rosa               X
 224 Oceana             M
 225 Henrietta          F        C0       CYB
 228 Agathe             S        S2
 229 Adelinda           BCU      C0       CYB
 230 Athamantis         S        S0
 232 Russia             C        C0
 233 Asterope           T        D3
 234 Barbara            S        S0
 235 Carolina           S
 236 Honoria            S        S0
 237 Coelestina         S
 238 Hypatia            C        C0
 240 Vanadis            C        C0
 241 Germania           CP       C0
 243 Ida                S        S0
 245 Vera               S        S0
 246 Asporina           A        A0
 247 Eukrate            CP
 250 Bettina            M        M0
 254 Augusta            S
 255 Oppavia            X
 257 Silesia            SCTU
 258 Tyche              S        S0
 259 Aletheia           CP
 260 Huberta            CX:               CYB
 261 Prymno             B        B3
 262 Valda              S
 264 Libussa            S        S0
 266 Aline              C        C0
 267 Tirza              DU
 268 Adorea             FC       C0
 270 Anahita            S
 271 Penthesilea        PC
 273 Atropos            SCTU              PHO
 275 Sapientia          X
 276 Adelheid           X        C0
 277 Elvira             S        S0
 279 Thule              D        D0
 281 Lucretia           SU
 282 Clorinde           BFU::    B0
 283 Emma               X
 284 Amalia             CX
 286 Iclea              CX
 287 Nephthys           S        S0
 288 Glauke             S        S0
 289 Nenetta            A        A0
 293 Brasilia           CX
 295 Theresia           S
 296 Phaetusa           S
 302 Clarissa           F        C0
 304 Olga               C        C0
 305 Gordonia           S
 306 Unitas             S        S0
 307 Nike               CX
 308 Polyxo             T        D3
 311 Claudia            S
 312 Pierretta          S
 313 Chaldaea           C        C0
 317 Roxane             E        E0
 318 Magdalena          CXF
 321 Florentina         S
 322 Phaeo              X        M0
 323 Brucia             S        S0
 324 Bamberga           CP
 325 Heidelberga        M
 326 Tamara             C        C0       PHO
 328 Gudrun             S
 329 Svea               C        C0
 331 Etheridgea         CX
 333 Badenia            C:
 334 Chicago            C        C0       HIL
 335 Roberta            FP       C0
 336 Lacadiera          D        D0
 337 Devosa             X        M0
 338 Budrosa            M        M0
 339 Dorothea           S        S1
 340 Eduarda            S
 341 California         S
 342 Endymion           C
 343 Ostara             CSGU
 344 Desiderata         C        C0                3
 345 Tercidina          C        C0
 346 Hermentaria        S        S0
 347 Pariana            M        M0
 349 Dembowska          R        V0
 350 Ornamenta          C        C0
 351 Yrsa               S
 352 Gisela             S        S0
 354 Eleonora           S        S2
 356 Liguria            C
 357 Ninina             CX
 359 Georgia            CX       M0
 360 Carlova            C        C0
 361 Bononia            DP                HIL
 362 Havnia             XC
 363 Padua              XC
 364 Isara              S        S0
 365 Corduba            X        C0
 368 Haidea             D        D2
 369 Aeria              M        M0
 370 Modestia           X
 371 Bohemia            QSV
 372 Palma              BFC
 373 Melusina           C        C0
 374 Burgundia          S        S0
 375 Ursula             C
 376 Geometria          S        S0
 377 Campania           PD
 378 Holmia             S
 379 Huenna             B        C0
 380 Fiducia            C        C0
 381 Myrrha             C        C0
 382 Dodona             M        M0
 383 Janina             B        B3
 384 Burdigala          S
 385 Ilmatar            S
 386 Siegena            C        C0
 387 Aquitania          S        S0
 388 Charybdis          C        C0
 389 Industria          S        S0
 390 Alma               DT
 391 Ingeborg           S                 PHO
 393 Lampetia           C
 394 Arduina            S        S0
 395 Delia              C
 397 Vienna             S
 402 Chloe              S        S0
 403 Cyane              S
 404 Arsinoe            C        C0
 405 Thia               C        C0
 406 Erna               P        M0
 407 Arachne            C        C0
 409 Aspasia            CX
 410 Chloris            C        C0
 413 Edburga            M
 414 Liriope            C        C0       CYB
 415 Palatia            DP
 416 Vaticana           S        S0
 417 Suevia             X
 418 Alemannia          M        M0
 419 Aurelia            F        C0
 420 Bertholda          P        M0       CYB
 421 Zahringia          S
 422 Berolina           DX
 423 Diotima            C        C0
 426 Hippo              F 
 429 Lotis              C        C0
 431 Nephele            B        C0
 432 Pythia             S
 433 Eros               S                 AMO
 434 Hungaria           E                 HUN
 435 Ella               DCX
 438 Zeuxo              F:
 439 Ohio               X:
 441 Bathilde           M
 442 Eichsfeldia        C        C0
 443 Photographica      S        S3
 444 Gyptis             C        C0
 445 Edna               C
 446 Aeternitas         A        A0
 447 Valentine          TD
 448 Natalie            C
 449 Hamburga           C        C0
 450 Brigitta           CSU
 451 Patientia          CU       B3
 453 Tea                S
 454 Mathesis           CB
 455 Bruchsalia         CP
 458 Hercynia           S
 459 Signe              S        S0
 461 Saskia             FCX
 462 Eriphyla           S
 463 Lola               X
 464 Megaira            FXU:
 466 Tisiphone          C        C0       CYB
 468 Lina               CPF
 469 Argentina          X
 470 Kilia              S        S0
 471 Papagena           S        S0
 472 Roma               S        S0
 475 Ocllo              X        M0       MC
 476 Hedwig             P        C0
 477 Italia             S        S0
 478 Tergeste           S        S0
 480 Hansa              S        S0
 481 Emita              C
 482 Petrina            S
 483 Seppina            S        S0       CYB
 487 Venetia            S
 488 Kreusa             C
 489 Comacina           C
 490 Veritas            C
 494 Virtus             C
 496 Gryphia            S        S0
 497 Iva                M
 498 Tokio              M        D3
 499 Venusia            P        C0       HIL
 502 Sigune             S                 PHO
 503 Evelyn             XC
 505 Cava               FC
 506 Marion             XC       C0
 508 Princetonia        C        C0
 509 Iolanda            S        S0
 510 Mabella            PD
 511 Davida             C        C0
 512 Taurinensis        S        S2       MC
 513 Centesima          S
 514 Armida             XC       C0
 515 Athalia            I        S0                4
 516 Amherstia          M
 517 Edith              X
 519 Sylvania           S        S0
 520 Franziska          CGU
 521 Brixia             C        C0
 522 Helga              X        C0       CYB
 524 Fidelio            XC
 525 Adelaide           SU
 526 Jena               B        C0
 529 Preziosa           S        S0
 530 Turandot           F        C0
 532 Herculina          S        S0
 533 Sara               S
 534 Nassovia           S
 535 Montague           C
 536 Merapi             X        C0       CYB
 537 Pauly              DU:
 540 Rosamunde          S        S0
 542 Susanna            S
 545 Messalina          CD
 546 Herodias           TDG
 547 Praxedis           XD:
 548 Kressida           S
