
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
       3,092.0 Lahr/Edm/Tren/StJ Mil     Canada Search & Rescue      8,993.0
       3,109.0 RAF                       CAP AM/LSB/USB             26,620.0
       3,113.0 USAF SAC                  CAP LSB                     4,469.0
       3,116.0 USAF Mystic               CAP LSB                     4,604.0
       3,120.0 NASA                      CAP LSB/USB                 4,509.0
       3,120.0 RAF                       CAP LSB/USB                 4,630.0
       3,120.0 USCG Helos                CAP National Emergency      4,582.0
       3,123.0 USCG A/G                  CAP National Emergency      7,635.0
       3,130.0 US Navy Tactical          CAP USB                     2,371.0
       3,137.0 USAF GCCS                 CAP USB                     2,374.0
       3,144.0 USAF Mystic               CAP USB                     4,466.0
       3,155.0 Bell Telephone            CAP USB                     4,506.0
       3,166.0 Bell Can Quebec 1         CAP USB                     4,585.0
       3,199.5 FHWA                      CAP USB                     4,601.0
       3,281.0 Flight Test               CAP USB                     4,627.0
       3,287.0 Corps of Engineers        CAP USB NY                  4,466.0
       3,290.0 Corps of Engineers        CAP/USAF AK                18,205.0
       3,292.0 USAF SAC                  CAP/USAF USB               11,975.0
       3,295.0 USAF SAC                  CAP/USAF USB               14,902.0
       3,302.0 Corps of Engineers        CAP/USAF USB               20,873.0
       3,303.0 DOT Emergency             CAR                         5,550.0
       3,304.5 FHWA                      CAR                        13,297.0
       3,305.0 Corps of Engineers        Carib interisland police    5,690.0
       3,330.0 CHU Time                  Carib Inter-Island          7,165.0
       3,336.6 DOE                       Caribbean Maritime          7,168.0
       3,369.0 US Customs Channel YK     CCG E Coast wx              2,749.0
       3,369.0 USAF SAC                  CCG Halifax Ship 12,266    13,113.0
       3,387.0 USCG Cutters              CCG Halifax Ship 4,116      4,408.0
       3,407.0 Hurricane Ctr Miami A/G   CCG Halifax Ship 8,261      8,785.0
       3,413.0 CEP-5                     CCG Ship 6,209              6,513.0
       3,413.0 Civ Av Ctl E Pac          CCG VOJ                     2,598.0
       3,413.0 Shannon Volmet            CEP-5                       2,869.0
       3,419.0 AFI-2                     CEP-5                       3,413.0
       3,425.0 AFI-5 SP-9                CEP-5                       5,547.0
       3,428.0 US Customs Channel YA     CEP-5                       8,843.0
       3,432.0 WX Bangkok                CEP-5                      11,282.0
       3,434.0 Offshore Drilling         CEP-5                      13,300.0
       3,443.0 Flight Test               CEP-5                      13,354.0
       3,452.0 AFI-1                     CEP-5                      17,904.0
       3,452.0 SAT-1                     CFARS                      14,384.5
       3,455.0 W-CAR                     CFB Trenton patches        11,214.0
       3,458.0 Rainbow Radio             Chalk Airlines              5,737.0
       3,467.0 AFI-3 MID-2 SP-6/7        CHU Time                    3,330.0
       3,470.0 SEA-1/3 AK                CHU Time                    7,335.0
       3,473.0 MID                       CHU Time                   14,670.0
       3,476.0 INO-1                     Civ Av Afr                 10,057.0
       3,476.0 NAT-E                     Civ Av A/G                 13,354.0
       3,479.0 C/SE/NE-SAM EUR-1         Civ Av Ctl E Pac            3,413.0
       3,482.0 LDOC Portishead           Civ Av Ctl E Pac            5,574.0
       3,485.0 SEA-2 EA-2                Civ Av Ctl E Pac           10,057.0
       3,485.0 WX Gander                 Civ Av Ctl E Pac           13,288.0
       3,485.0 WX New York               Civ Av CWP                  2,998.0
       3,494.0 WW NY                     Civ Av E Afr                2,851.0
       3,494.0 WW San Juan               Civ Av E Asia              10,042.0
