
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
       6,687.0 USMC Convoys              Lahr/Edm/Tren/StJ Mil       9,006.0
       6,688.0 USAF GCCS                 Lahr/Edm/Tren/StJ Mil      11,233.0
       6,690.0 RAF                       Lahr/Edm/Tren/StJ Mil      13,257.0
       6,693.0 Canada MACS VOLMET        Lahr/Edm/Tren/StJ Mil      15,031.0
       6,693.0 RAF                       Lahr/Edm/Tren/StJ Mil      18,012.0
       6,697.0 RAF                       Lat AM USAF Co-op          13,220.0
       6,697.0 USN HICOM LANT/CARIB      Lat AM USAF Co-op          20,600.0
       6,705.0 Lahr/Edm/Tren/StJ Mil     Lat AM USAF Co-op          24,860.0
       6,708.0 Canada MACS               Lat AM USAF Co-op          24,865.0
       6,708.0 NORAD/SAGE                LDOC  Lima Peru             5,535.0
       6,712.0 USAF SAC                  LDOC AAL Ft Worth          13,957.0
       6,714.0 USCG Cutters              LDOC Africa                13,330.0
       6,715.0 RAF                       LDOC Africa                13,339.0
       6,715.0 USAF Rescue               LDOC Africa                13,348.0
       6,716.0 Canada MACS               LDOC Africa                17,925.0
       6,720.0 USN HICOM East/North      LDOC Africa                17,931.0
       6,723.0 US Navy (Raspberry Ch)    LDOC Africa                17,937.0
       6,727.0 USAF GCCS                 LDOC Africa                21,943.0
       6,730.0 RAF                       LDOC Africa                21,961.0
       6,730.0 USAF GCCS VIP             LDOC Africa                21,982.0
       6,733.0 RAF                       LDOC Africa                21,994.0
       6,738.0 RAF                       LDOC Amsterdam              5,532.0
       6,738.0 USAF GCCS                 LDOC Amsterdam KLM          8,924.0
       6,740.0 RAF                       LDOC Amsterdam KLM         13,327.0
       6,740.0 USAF Coordination         LDOC Asia                  13,333.0
       6,741.0 RAF                       LDOC Asia                  13,342.0
       6,742.0 FACSFAC Jacksonville      LDOC Asia                  13,351.0
       6,746.0 Canada MACS VOLMET        LDOC Asia                  17,916.0
       6,746.0 USAF SAC                  LDOC Asia                  17,922.0
       6,748.0 RAF                       LDOC Asia                  17,928.0
       6,750.0 Hurricane USAF            LDOC Asia                  17,934.0
       6,753.0 Edm/Tren/StJ Mil WX       LDOC Asia                  17,940.0
       6,756.0 USAF GCCS                 LDOC Asia                  21,949.0
       6,760.0 RAF                       LDOC Asia                  21,970.0
       6,760.0 USAF GCCS VIP             LDOC Athens                17,916.0
       6,763.0 Bell Telephone            LDOC Athens                21,979.0
       6,765.0 RAF                       LDOC Auckland               3,007.0
       6,790.0 USAF Mystic               LDOC Auckland               6,637.0
       6,803.0 USAF                      LDOC Auckland              10,072.0
       6,812.0 USAF Mystic               LDOC Auckland              13,333.0
       6,817.0 USAF Mystic               LDOC Auckland              17,940.0
       6,826.0 USAF SAC                  LDOC Auckland              21,970.0
       6,830.0 USAF GCCS VIP             LDOC Bahrain               13,339.0
       6,837.0 NASA Cape Radio           LDOC Bahrain               17,931.0
       6,840.0 USAF SAC                  LDOC Bahrain               21,943.0
       6,863.0 USAF SAC                  LDOC Bangkok               13,351.0
       6,870.0 USAF SAC                  LDOC Bangkok               17,920.0
       6,879.0 Tactical, CHOKER          LDOC Bangkok               21,970.0
       6,886.0 USAF SAC                  LDOC Barbados              17,485.0
       6,896.0 NASA Cape Radio           LDOC Barbados              17,910.0
       6,918.0 USAF Mystic               LDOC Beirut                13,330.0
       6,927.0 USAF Mystic               LDOC Beirut                17,931.0
       6,965.0 LRCN                      LDOC Beirut                21,943.0
       6,970.0 Tactical, CHOKER          LDOC Bogota                13,336.0
       6,982.5 DOE                       LDOC Bogota                17,928.0
       6,993.0 USAF Mystic               LDOC Bogota                21,955.0
       6,998.5 Intl Red Cross Switzerlnd LDOC Bombay                13,351.0
       7,055.0 Hurricane Puerto Rico Net LDOC Bombay                17,916.0
       7,073.0 Hurricane Puerto Rico Net LDOC Bombay                21,949.0
       7,165.0 Carib Inter-Island        LDOC Buenos Aires          17,919.0
       7,168.0 Caribbean Maritime        LDOC Buenos Aires          17,928.0
       7,235.0 Hurricane Gulf Net        LDOC Buenos Aires          21,955.0
       7,240.0 East Coast Emergency net  LDOC Cairo                 17,931.0
       7,300.0 Bell Telephone            LDOC Cairo                 21,982.0
       7,300.0 DEA                       LDOC Dublin                13,351.0
       7,330.0 USAF SAC                  LDOC Dublin                17,916.0
       7,335.0 CHU Time                  LDOC Dublin                21,952.0
       7,373.5 DOT Emergency             LDOC Europe                13,333.0
       7,419.0 FHWA                      LDOC Europe                13,336.0
       7,439.0 USCG Cutters              LDOC Europe                13,342.0
       7,461.0 NASA Cape Radio           LDOC Europe                13,345.0
       7,465.0 Bell Can Quebec 2         LDOC Europe                13,351.0
       7,467.0 FACSFAC Oceana            LDOC Europe                17,916.0
       7,475.0 DOT Emergency             LDOC Europe                17,922.0
       7,475.0 FAA KIA21                 LDOC Europe                17,931.0
       7,475.0 SHARES Emergency Net      LDOC Europe                17,940.0
       7,475.0 USAF SAC                  LDOC Europe                21,940.0
       7,500.0 WX Dakar                  LDOC Europe                21,946.0
       7,507.0 Hurricane Warn            LDOC Europe                21,952.0
       7,527.0 US Customs Channel ZB     LDOC Europe                21,958.0
       7,533.5 FEMA                      LDOC Europe                21,967.0
       7,535.0 COMNAVFORCARIB            LDOC Europe                21,973.0
       7,540.0 SHARES Emergency Net      LDOC Europe                21,979.0
       7,549.1 Bell Telephone            LDOC Europe                21,988.0
       7,552.0 Bell Telephone            LDOC Europe                21,997.0
       7,553.0 Sunair KK2XCE             LDOC Frankfurt             17,931.0
       7,582.0 DEA                       LDOC Frankfurt             21,979.0
       7,582.0 DOT Emergency             LDOC Havana                13,339.0
       7,626.0 Special Patrol Ops        LDOC Havana                17,934.0
       7,635.0 CAP National Emergency    LDOC Havana                21,985.0
       7,655.0 Rockwell Collins          LDOC Hong Kong             17,940.0
       7,657.0 DEA                       LDOC Hong Kong             21,970.0
       7,690.0 USAF Mystic               LDOC Hongkong               6,637.0
       7,697.1 Bell Telephone            LDOC Hongkong              13,333.0
       7,701.5 DOE                       LDOC Jakarta                3,007.0
       7,726.5 FHWA                      LDOC Jakarta                6,637.0
       7,735.0 US Navy Norfolk           LDOC Jakarta                8,921.0
       7,735.0 USAF Mystic               LDOC Jakarta               10,072.0
       7,743.0 FHWA                      LDOC Jakarta               13,351.0
       7,765.0 USAF Mystic               LDOC Jakarta               17,916.0
       7,778.5 US Customs Channel XD     LDOC Jakarta               21,970.0
       7,790.0 LRCN                      LDOC Jeddah                13,339.0
       7,813.0 USAF Mystic               LDOC Jeddah                17,925.0
       7,820.0 LRCN                      LDOC Jeddah                21,994.0
       7,821.0 FHWA                      LDOC Johannesburg           3,013.0
       7,840.5 DOE                       LDOC Johannesburg           5,532.0
       7,858.0 USAF Mystic               LDOC Johannesburg           8,933.0
       7,880.0 NOAA                      LDOC Johannesburg          11,354.0
       7,903.0 FAA Hampton GA            LDOC Johannesburg          13,330.0
       7,952.0 Medical Owings MD         LDOC Jo'burg               17,925.0
       7,983.0 USAF SAC                  LDOC Jo'burg               21,943.0
       7,997.0 USAF Mystic               LDOC Karachi                8,930.0
       8,025.0 DOE                       LDOC Karachi               11,351.0
       8,040.0 USAF Mystic               LDOC Karachi               13,342.0
       8,060.0 USAF Mystic               LDOC Karachi               17,940.0
       8,101.0 USAF SAC                  LDOC Karachi               21,970.0
       8,125.0 DOT Emergency             LDOC Kingston              13,356.0
       8,125.0 FAA, KDM49                LDOC Las Palmas            17,940.0
       8,125.0 SHARES Emergency Net      LDOC Las Palmas            21,967.0
       8,162.0 USAF Mystic               LDOC Lima                   3,010.0
       8,169.0 Special Patrol Ops        LDOC Lima                   8,885.0
       8,170.0 LDOC Portishead           LDOC Lima                   8,924.0
       8,185.0 LDOC Portishead           LDOC Lima                  11,345.0
       8,190.0 RAF                       LDOC Lima                  11,393.0
       8,255.0 USCG Comsta Key West      LDOC Lima                  17,937.0
       8,261.0 Ships CCG Halifax 8,785   LDOC Lima                  21,976.0
       8,270.0 Scheveningen Ship Main    LDOC Lisbon                13,336.0
       8,291.0 Marine Calling/Distress   LDOC Lisbon                17,940.0
       8,294.0 Ship/Ship                 LDOC Lisbon                21,952.0
       8,297.0 Ship/Ship                 LDOC London                 8,921.0
       8,364.0 Survival Craft            LDOC London                10,072.0
       8,638.0 Time sigs VNG Penrith NSW LDOC London                13,333.0
       8,684.0 USCG a/g                  LDOC London                17,922.0
       8,760.0 USCG Comsta N Orleans     LDOC London                21,946.0
       8,764.0 USCG New Orleans          LDOC London                 5,535.0
       8,764.0 USCG Portsmouth wx        LDOC Madrid                17,940.0
       8,769.0 Drug Enforcement          LDOC Madrid                21,967.0
       8,771.0 Air/Ground Common         LDOC Manila                13,351.0
       8,779.0 ATL Fleet Ships           LDOC Manila                17,916.0
       8,785.0 CCG Halifax Ship 8,261    LDOC Manila                21,949.0
       8,790.0 RAF                       LDOC Mexico City            3,007.0
       8,794.0 Scheveningen Coast H05    LDOC Mexico City            5,544.0
       8,806.0 St Lys Coast              LDOC Mexico City            8,927.0
       8,819.0 Rainbow Radio             LDOC Mexico City           10,033.0
       8,822.0 Flight Test               LDOC Mexico City           13,339.0
       8,825.0 NAT-A                     LDOC Mexico City           17,919.0
       8,828.0 Honolulu WX               LDOC Mexico DF             17,940.0
       8,831.0 NAT-E                     LDOC N Am                  13,330.0
       8,837.0 Ben Gurion                LDOC N Am                  13,339.0
       8,843.0 CEP-5                     LDOC N Am                  13,348.0
       8,846.0 SP-9 W-CAR                LDOC N Am                  17,919.0
       8,855.0 C/NE/SE-SAM AK            LDOC N Am                  17,925.0
       8,861.0 AFI-1 SAT-1/2             LDOC N Am                  17,934.0
       8,864.0 NAT-B/C                   LDOC N Am                  17,940.0
       8,867.0 SP-6/7                    LDOC N Am                  21,964.0
       8,870.0 AFI-3                     LDOC N Am                  21,985.0
       8,873.0 AFI-4                     LDOC Nairobi               13,339.0
       8,876.0 Domestic AK               LDOC Nairobi               17,931.0
       8,876.0 Hurricane Ctr Miami A/G   LDOC Nairobi               21,982.0
       8,878.0 Oakland WX                LDOC Ostende               13,351.0
       8,879.0 INO-1 NAT-B/C AFI-5       LDOC Ostende               17,940.0
       8,885.0 LDOC Lima                 LDOC Paris                 13,351.0
       8,888.0 AFI-4                     LDOC Paris                 17,916.0
       8,891.0 NAT-D                     LDOC Paris                 21,940.0
       8,894.0 AFI-2 AFI-2               LDOC Portishead             3,482.0
       8,897.0 EA-1                      LDOC Portishead             4,807.0
       8,903.0 AFI-4                     LDOC Portishead             5,610.0
       8,903.0 CWP-1                     LDOC Portishead             6,634.0
       8,903.0 CWP-2                     LDOC Portishead             8,170.0
       8,903.0 WX Anchorage              LDOC Portishead             8,185.0
       8,903.0 WX Hong Kong              LDOC Portishead             8,960.0
       8,903.0 WX Honolulu               LDOC Portishead            10,291.0
       8,903.0 WX Oakland                LDOC Portishead            12,133.0
       8,903.0 WX Tokyo                  LDOC Portishead            13,865.0
       8,906.0 NAT-E                     LDOC Portishead            14,890.0
       8,912.0 US Customs Channel YC     LDOC Portishead            14,890.0
       8,913.0 Kinshasa Zaire            LDOC Portishead            16,370.0
       8,918.0 E-CAR MID-1               LDOC Portishead            17,405.0
       8,921.0 Atlanta Flight Support    LDOC Portishead            18,210.0
       8,921.0 Dragon Radio              LDOC Portishead            19,510.0
       8,921.0 LDOC Jakarta              LDOC Portishead            20,065.0
       8,921.0 LDOC London               LDOC Portishead            21,765.0
       8,924.0 LDOC Amsterdam KLM        LDOC Prague                 5,532.0
       8,924.0 LDOC Lima                 LDOC Quantas               17,922.0
       8,924.0 LDOC Trinidad             LDOC Quantas               21,970.0
       8,924.0 Sabena                    LDOC Rangoon                3,007.0
       8,924.0 TAP Portuguese airline    LDOC Rangoon                4,687.0
       8,927.0 Cubana                    LDOC Rangoon               11,351.0
       8,927.0 LDOC Mexico City          LDOC Rangoon               13,342.0
       8,930.0 LDOC Karachi              LDOC Rangoon               17,934.0
       8,930.0 LDOC Singapore            LDOC Rangoon               21,949.0
       8,930.0 LDOC Stockholm            LDOC Rome                  13,336.0
       8,933.0 Egyptair                  LDOC Rome                  17,940.0
       8,933.0 LDOC Johannesburg         LDOC Rome                  21,952.0
       8,936.0 WW Berna                  LDOC S Am                  13,336.0
       8,938.0 Avianca                   LDOC S Am                  17,919.0
       8,938.0 WX Argentina              LDOC S Am                  17,928.0
       8,942.0 SEA-2                     LDOC S Am                  17,937.0
       8,945.0 Civ Av ME                 LDOC S Am                  21,955.0
       8,951.0 Civ Av N Pac              LDOC S Am                  21,976.0
       8,951.0 MID-3                     LDOC Seoul                 13,333.0
       8,957.0 WX Shannon                LDOC Seoul                 17,916.0
       8,960.0 LDOC Portishead           LDOC Seoul                 21,970.0
       8,964.0 USAF GCCS                 LDOC Singapore              6,637.0
       8,967.0 RAF                       LDOC Singapore              8,930.0
       8,967.0 USAF GCCS                 LDOC Singapore             10,078.0
       8,972.0 US Navy (Atlantic)        LDOC Singapore             13,333.0
       8,977.0 RN Yeovilton Ops          LDOC Singapore             17,934.0
       8,981.0 USN/NASA Air              LDOC Singapore             21,949.0
       8,984.0 USCG Air                  LDOC Stockholm              5,541.0
       8,987.0 RAF                       LDOC Stockholm              8,930.0
       8,989.0 Edm/Tren Mil              LDOC Stockholm             11,345.0
       8,990.0 RAF                       LDOC Stockholm             13,342.0
       8,993.0 Canada Search & Rescue    LDOC Stockholm             17,916.0
       8,993.0 Hurricane USAF            LDOC Stockholm             21,997.0
       8,993.0 Portland Ops UK           LDOC Stockholm             23,210.0
       8,997.0 Antarctica US bases       LDOC Sydney                17,922.0
       9,006.0 Lahr/Edm/Tren/StJ Mil     LDOC Sydney                17,934.0
       9,006.0 NASA Cape Radio           LDOC Sydney                17,940.0
       9,006.0 USAF GCCS                 LDOC Tokyo                 17,928.0
       9,010.0 Canada MACS               LDOC Tokyo                 21,949.0
       9,011.0 RAF                       LDOC Trinidad               3,010.0
       9,011.0 USAF GCCS                 LDOC Trinidad               5,535.0
       9,014.0 RN Prestwick Ops          LDOC Trinidad               8,924.0
       9,014.0 USAF                      LDOC Trinidad              11,345.0
       9,017.0 USAF Mystic               LDOC Trinidad              13,336.0
       9,020.0 Hurricane Ctr Miami       LDOC Trinidad              17,928.0
       9,023.0 USAF SAC                  LDOC Trinidad              21,955.0
       9,024.0 RAF                       LDOC Trinidad              21,955.0
       9,025.0 RAF                       LIAT Antigua                5,490.0
       9,027.0 USAF SAC                  Lima Radio                 11,306.0
       9,032.0 RAF                       LRCN                        6,965.0
       9,036.0 RAF                       LRCN                        7,790.0
       9,043.0 USAF Mystic               LRCN                        7,820.0
       9,057.0 USAF SAC                  Lufthansa                  13,327.0
       9,074.5 DOT Emergency             MAAG Bolivia, Panama       20,885.0
       9,115.5 DOE                       MAF Net LatAm               4,665.0
       9,120.0 USAF Mystic               Marine Calling/Distress     2,182.0
       9,158.0 USAF Mystic               Marine Calling/Distress     4,125.0
       9,169.0 FHWA                      Marine Calling/Distress     6,215.0
       9,180.0 USAF Mystic               Marine Calling/Distress     8,291.0
       9,197.0 FHWA                      Marine Calling/Distress    12,290.0
       9,220.0 USAF SAC                  Marine Calling/Distress    16,420.0
       9,234.0 USAF SAC                  Maritime Mobile Net        14,300.0
       9,238.0 US Customs Channel XE     Medical Owings MD           7,952.0
       9,270.0 USAF Mystic               Medical Owings MD          12,327.0
       9,305.0 Sunair, KK2XCE            Medical Owings MD          16,450.0
       9,315.0 USAF Coordination         Medical Owings MD          22,722.0
       9,316.0 USAF Coordination         Medical Owings Mill MD      4,893.0
       9,320.0 USAF Mystic               Medical Owings Mill MD     16,590.2
       9,380.0 Hurricane Warn            MID                         3,473.0
       9,497.0 DEA                       MID                         6,625.0
       9,793.0 NORAD/SAGE                Middle East Airlines        5,538.0
       9,802.0 US Customs Channel ZC     Middle East Airlines       10,075.0
       9,919.5 DOE                       Middle East Airlines       13,330.0
       9,958.0 USAF Mystic               MID-1                       2,992.0
       9,963.5 DOE                       MID-1                       5,667.0
       9,974.0 USAF Coordination         MID-1                      13,312.0
       9,991.0 USAF Mystic               MID-2                      10,018.0
      10,000.0 WWV                       MID-3                       6,631.0
      10,015.0 Hurricane Ctr Miami A/G   MID-3                       8,951.0
      10,018.0 MID-2                     MID-3                      11,375.0
      10,024.0 SW-SAM-8                  MID-3                      17,961.0
      10,033.0 LDOC Mexico City          MIT Observatory            20,876.3
      10,042.0 Civ Av E Asia             MSF Time/Freq               5,000.0
      10,045.0 Flight Test               NAS Key West               11,186.0
      10,048.0 NP-3                      NASA                        3,120.0
      10,048.0 NP-4                      NASA                        5,436.0
      10,051.0 WX Gander                 NASA Cape Radio             4,856.0
      10,051.0 WX New York               NASA Cape Radio             4,992.0
      10,057.0 Civ Av Afr                NASA Cape Radio             6,837.0
      10,057.0 Civ Av Ctl E Pac          NASA Cape Radio             6,896.0
      10,057.0 WX Brazil                 NASA Cape Radio             7,461.0
      10,066.0 SEA-1                     NASA Cape Radio             9,006.0
      10,069.0 WW Berna                  NASA Cape Radio            10,780.0
      10,072.0 LDOC Auckland             NASA Cape Radio            11,414.0
      10,072.0 LDOC Jakarta              NASA Cape Radio            11,548.0
      10,072.0 LDOC London               Nasa Cape Radio            11,615.0
      10,073.0 WX Brazzaville            NASA Cape Radio            19,640.0
      10,075.0 Middle East Airlines      NASA Cape Radio            20,390.0
      10,075.0 WW HOU                    NASA Cape Radio            23,413.0
      10,078.0 LDOC Singapore            National Guard              4,840.0
      10,084.0 EUR-A                     NAT-A                       5,598.0
      10,093.0 Air France                NAT-A                       8,825.0
      10,093.0 Gulf Air                  NAT-A EA-1                  3,016.0
      10,096.0 C-SAM                     NAT-A/B/C/D/E              17,946.0
      10,096.0 NE-SAM                    NAT-B/C                     2,899.0
      10,096.0 SE-SAM                    NAT-B/C                     2,962.0
      10,112.0 USAF Mystic               NAT-B/C                     5,616.0
      10,194.0 Canada MACS               NAT-B/C                     8,864.0
      10,194.0 FEMA                      NAT-B/C SEA-2               5,649.0
      10,195.0 SHARES Emergency Net      NAT-B/C/D                  13,291.0
      10,242.0 US Customs Channel TA     NAT-D                       2,971.0
      10,291.0 LDOC Portishead           NAT-D                       4,675.0
      10,427.0 USAF Mystic               NAT-D                       6,622.0
      10,452.0 USAF SAC                  NAT-D                       8,891.0
      10,493.0 FEMA                      NAT-D                      11,279.0
      10,510.0 USAF SAC                  NAT-D                      11,336.0
      10,530.0 USAF Mystic               NAT-E                       3,476.0
      10,583.0 USAF Mystic               NAT-E                       6,628.0
      10,588.0 FEMA                      NAT-E                       8,831.0
      10,588.0 USCG Miami                NAT-E                       8,906.0
      10,780.0 NASA Cape Radio           NAT-E                      11,309.0
      10,788.0 COMSTA Charleston         NAT-E                      13,354.0
      10,881.0 USAF Mystic               NCA-1 oil rigs AK           3,019.0
      10,891.0 FHWA Emerg broadcast      NCA-1 SAT-1/2              13,315.0
      10,891.0 SHARES Emergency Net      NCA-1/2/3                  17,958.0
      10,918.0 FHWA                      NCA-2                       4,678.0
      11,028.0 DOT Emergency             NCA-2                       6,592.0
      11,028.0 SHARES Emergency Net      NCA-3                       5,664.0
      11,035.0 USAF Mystic               NE-SAM                     10,096.0
      11,055.0 USAF GCCS VIP             NE-SAM                     13,297.0
      11,073.0 US Customs Channel XF     NMFS, KAC                   2,613.0
      11,076.0 Drug Enforcement E        NOAA                        7,880.0
      11,100.0 USAF SAC                  NOAA                       11,398.0
      11,118.0 USAF SAC                  NORAD                      11,141.0
      11,124.0 TAC                       NORAD                      11,284.0
      11,126.5 DOE                       NORAD/SAGE                  4,872.0
      11,141.0 NORAD                     NORAD/SAGE                  5,297.0
      11,176.0 USAF GCCS                 NORAD/SAGE                  6,708.0
      11,179.0 USAF GCCS                 NORAD/SAGE                  9,793.0
      11,180.0 USAF Mystic               NORAD/SAGE                 14,894.0
      11,182.0 USAF GCCS                 NORAD/SAGE                 20,855.0
      11,185.0 RAF                       Norontair S Ste Marie ON    5,490.0
      11,186.0 NAS Key West              NP                          6,655.0
      11,187.0 German Air Force          NP                          6,661.0
      11,195.0 USCG A/G                  NP-3                        5,628.0
      11,198.0 USCG Helos                NP-3                       10,048.0
      11,200.0 WX RAF UK                 NP-3                       13,300.0
      11,201.0 USCG Air                  NP-3                       17,904.0
      11,204.0 RAF                       NP-4                        2,932.0
      11,205.0 USN HICOM                 NP-4                        5,628.0
      11,210.0 USAF Mystic               NP-4                       10,048.0
      11,212.0 RAF                       NP-4                       13,300.0
      11,214.0 CFB Trenton patches       NP-4                       17,904.0
      11,214.0 USAF                      NW/SW-SAM                   6,649.0
      11,220.0 USAF SAC                  NW/SW-SAM                  11,360.0
      11,226.0 USAF GCCS                 NW/SW-SAM MID-3             4,669.0
      11,228.0 USAF GCCS                 NW/SW-SAM MID-3 SAT-2       2,944.0
      11,229.0 USAF GCCS                 Oakland WX                  8,878.0
      11,233.0 Lahr/Edm/Tren/StJ Mil     Offshore Drilling           2,878.0
      11,236.0 Canada MACS               Offshore Drilling           3,019.0
      11,236.0 USAF GCCS                 Offshore Drilling           3,434.0
      11,239.0 USAF GCCS                 Offshore Drilling           4,672.0
      11,243.0 USAF SAC                  Offshore Drilling           5,463.0
      11,246.0 DEA                       Offshore Drilling           5,508.0
      11,246.0 USAF GCCS                 Olympic Airways            13,327.0
      11,249.0 Canada MACS VOLMET        Pan Am Health Org          14,235.0
      11,250.0 RAF                       Panama Radio?              14,562.5
      11,252.0 FACSFAC Jacksonville      Phone patches French op    18,004.0
      11,255.0 USN HICOM LANT            Portishead                 13,211.0
      11,257.0 RAF                       Portishead Coast           22,711.0
      11,265.0 Edm/Tren Mil              Portishead Ships           22,015.0
      11,267.0 HICOM LANT/CARIB          Portishead/Panama          11,306.0
      11,271.0 Edm/Tren Mil              Portland Ops UK             8,993.0
      11,279.0 NAT-D                     RAF                         2,428.0
      11,282.0 CEP-5                     RAF                         2,591.0
      11,284.0 NORAD                     RAF                         3,109.0
      11,288.0 Cairo/Jeddah LDOC         RAF                         3,120.0
      11,288.0 Flight test               RAF                         4,464.0
      11,291.0 SAT-1/2                   RAF                         4,540.0
      11,297.0 Civ Av N Ctl Asia         RAF                         4,707.0
      11,300.0 AFI-3                     RAF                         4,710.0
      11,306.0 Flight test               RAF                         4,717.0
      11,306.0 Lima Radio                RAF                         4,730.0
      11,306.0 Portishead/Panama         RAF                         4,739.0
      11,309.0 NAT-E                     RAF                         4,742.0
      11,318.0 SEA-3                     RAF                         4,749.0
      11,319.0 WX Argentina              RAF                         5,095.0
      11,327.0 SP                        RAF                         5,441.0
      11,330.0 AFI NP CAR                RAF                         5,462.0
      11,336.0 NAT-D                     RAF                         5,470.0
      11,339.0 SP-9                      RAF                         5,685.0
      11,342.0 WW HON                    RAF                         5,721.0
      11,342.0 WW NY                     RAF                         5,729.0
      11,342.0 WW San Juan               RAF                         5,747.0
      11,345.0 Atlanta Flight Support    RAF                         6,690.0
      11,345.0 LDOC Lima                 RAF                         6,693.0
      11,345.0 LDOC Stockholm            RAF                         6,697.0
      11,345.0 LDOC Trinidad             RAF                         6,715.0
      11,348.0 WW HON                    RAF                         6,730.0
      11,348.0 WW SFO                    RAF                         6,733.0
      11,351.0 LDOC Karachi              RAF                         6,738.0
      11,351.0 LDOC Rangoon              RAF                         6,740.0
      11,354.0 Gulf Air                  RAF                         6,741.0
      11,354.0 LDOC Johannesburg         RAF                         6,748.0
      11,357.0 Domestic AK               RAF                         6,760.0
      11,360.0 NW/SW-SAM                 RAF                         6,765.0
      11,363.0 Domestic AK               RAF                         8,190.0
      11,375.0 MID-3                     RAF                         8,790.0
      11,384.0 CWP-1/2                   RAF                         8,967.0
      11,387.0 E-CAR                     RAF                         8,987.0
      11,387.0 WX Bangkok                RAF                         8,990.0
      11,387.0 WX Singapore              RAF                         9,011.0
      11,393.0 LDOC Lima                 RAF                         9,024.0
      11,396.0 SEA-2/3 EA-2 W-CAR        RAF                         9,025.0
      11,397.5 DOE                       RAF                         9,032.0
      11,398.0 NOAA                      RAF                         9,036.0
      11,407.0 USAF Mystic               RAF                        11,185.0
      11,413.0 USAF Mystic               RAF                        11,204.0
      11,414.0 NASA Cape Radio           RAF                        11,212.0
      11,440.0 USAF Rescue               RAF                        11,250.0
      11,441.0 USAF Mystic               RAF                        11,257.0
      11,460.0 USAF Mystic               RAF                        13,237.0
      11,466.0 USAF Mystic               RAF                        13,257.0
      11,484.0 USAF Mystic               RAF                        18,018.0
      11,488.0 USAF Mystic               RAF                        23,226.0
      11,494.0 US Customs Channel VF     RAF                        23,236.0
      11,494.0 USAF SAC                  Rainbow Radio               3,458.0
      11,498.0 USAF Mystic               Rainbow Radio               5,604.0
      11,518.7 FHWA                      Rainbow Radio               8,819.0
      11,545.0 USAF Mystic               Rainbow Radio              13,285.0
      11,548.0 NASA Cape Radio           Rainbow Radio              13,420.0
      11,556.5 DOE                       Rainbow Radio              17,910.0
      11,596.0 USAF Mystic               RN Prestwick Ops            9,014.0
      11,607.0 USAF SAC                  RN Yeovilton Ops            5,450.0
      11,615.0 Nasa Cape Radio           RN Yeovilton Ops            8,977.0
      11,615.0 USAF Mystic               Rockwell Collins            7,655.0
      11,627.0 USAF Mystic               Sabena                      5,529.0
      11,898.0 Hurricane Ctr Miami       Sabena                      8,924.0
      11,975.0 CAP/USAF USB              SAC (Ch Victor)             4,727.0
      12,070.0 FEMA Mt Weather VA        SAM E/W-CAR EA-2           17,907.0
      12,133.0 LDOC Portishead           SAT                         2,935.0
      12,158.0 FHWA                      SAT-1                       3,452.0
      12,178.7 FHWA                      SAT-1                       6,535.0
      12,220.0 Drug Enforcement          SAT-1/2                     2,854.0
      12,222.0 US Customs Channel ZD     SAT-1/2                     5,565.0
      12,246.0 Hurricane USAF            SAT-1/2                    11,291.0
      12,266.0 Scheveningen Ship Main    Scheveningen Coast A Call   2,824.0
      12,266.0 Ships CCG Halifax 13,113  Scheveningen Coast B        1,716.0
      12,290.0 Marine Calling/Distress   Scheveningen Coast C        2,600.0
      12,317.0 USAF Mystic               Scheveningen Coast D        1,674.0
      12,324.0 USAF Mystic               Scheveningen Coast F        1,713.0
      12,327.0 Medical Owings MD         Scheveningen Coast H05      8,794.0
      12,353.0 Ship/Ship                 Scheveningen Coast H05     13,113.0
      12,356.0 Ship/Ship                 Scheveningen Coast H05     17,347.0
      12,359.0 Ship/Ship                 Scheveningen Coast H05     22,708.0
      12,761.0 USN HICOM WESTPAC         Scheveningen Coast I        1,890.0
      12,984.0 Time sigs VNG Penrith NSW Scheveningen Radio Ship     4,077.0
      13,089.0 USCG Portsmouth wx        Scheveningen Ship A Call    2,520.0
      13,113.0 CCG Halifax Ship 12,266   Scheveningen Ship B         2,060.0
      13,113.0 Scheveningen Coast H05    Scheveningen Ship C         1,995.0
      13,150.0 Drug Enforcement          Scheveningen Ship D         2,099.0
      13,172.0 ATL Fleet Ships, A/C      Scheveningen Ship F         2,138.0
      13,181.0 US Navy HICOM             Scheveningen Ship I         2,045.0
      13,201.0 USAF Mystic               Scheveningen Ship I         2,048.0
      13,204.0 USAF Mystic               Scheveningen Ship I         2,051.0
      13,205.0 USAF SAC                  Scheveningen Ship I         2,054.0
      13,205.0 WW Berna                  Scheveningen Ship Main      8,270.0
      13,207.0 Canada MACS               Scheveningen Ship Main     12,266.0
      13,210.0 USAF GCCS                 Scheveningen Ship Main     16,465.0
      13,211.0 Portishead                Scheveningen Ship Main     22,012.0
      13,211.0 USAF SAC                  Search & Rescue             3,023.0
      13,214.0 USAF Mystic               SEA-1                       6,656.0
      13,217.0 USAF GCCS                 SEA-1                      10,066.0
